Personality GB,Detail,Breif,Trait
Willing Risk Taker,"these brand archetypes, the 'willing risk taker' is quiet and
reserved, who is always interested in how and why things work. Excellent skills
with mechanical things. Risk takers live for the moment and take life as fragile
and unpredictable. Usually interested in and talented at extreme sports.
Uncomplicated in their desires. Loyal to their peers and to their internal value
systems, but not overly concerned with respecting laws and rules if they get in
the way of getting something done. Detached and analytical, they excel at
finding solutions to practical problems. The risk taker is someone who is
comfortable working in a changing and uncertain environment; enjoys trying
new things and is willing to experiment and take calculated risks.","Comfortable
working in a changing and
uncertain environment; enjoys trying
new things and is willing to experiment
and take calculated risks",ACCEPTS UNCERTAINTY. ADVENTUROUS & LIVES FOR EXPERIENCES.
Skilled Communicator,"Sharing wisdom with you with an ability to explain.
Among
these brand archetypes, the 'skilled communicator' represents the
speaker, the writer and the information gatherer. Opera and Bill Clinton are
symbols of the communicator brand. The communicator brand is able to clearly
explain a point of view and its reasoning in both one on one and large audience
situations. Versed with good verbal and written communication proficiency, they
write accurately and professionally in multiple formats. They are generally
honest with the correct amount of detail. They are usually the ones who keep
people informed with relevant and well timed information. A communicator
brand positioning might be a good match for a company and digital customer
experience if your product/service encourages self expression, provides
customers with choices and options, helps foster innovation and is receptive to
feedback. Communicator brands are generally nonconformist. They are not
about fitting in, but about self expression, fostering healthy teams.","Clearly explains a point of view and its
reasoning in both one on one and large
audience situations; writes accurately and
professionally in multiple formats, with the
correct amount of detail; keeps people informed
with relevant and well timed information.",SHARING WISDOM WITH YOU WITH AN ABILITY TO EXPLAIN.
Practical Fixer,"The go to person. Continuously improving and solving challenging
problems.
Among
these brand archetypes, the ‘practical fixer' are the warm hearted,
popular, and conscientious. They are continuously on the lookout for ways to
improve processes. They are often shouldered with the responsibility of taking in
new ideas from concept to reality by managing the innovation process. They
have the ability to solve challenging problems by using a combination of
intuition and analytical thinking. Have a honed aptitude to quickly realize the
impact of new technology and finds opportunities to integrate it. Personally,
they feel strong sense of responsibility and duty and tends to put the needs of
others over their own needs. Value traditions and security. Interested in serving
others. Need positive reinforcement to feel good about themselves. Well
developed sense of space and function.","Continuously looks for ways to improve
processes; takes new ideas from concept to
reality by managing the innovation process;
solves challenging problems by using a
combination of intuition and analytical thinking;
quickly realizes the impact new technology and
finds opportunities to integrate it.",THE GO TO PERSON. CONTINUOUSLY IMPROVING & SOLVING CHALLENGING P ROBLEMS.
The Energetic Driver,"Result oriented. Demonstrates a positive can do attitude.
Among these brand archetypes, the 'energetic driver' are enthusiastic, idealistic,
and creative. Able to do almost anything that interests them. Great people skills.
Consistently achieves results and meets personal goals and team target. They
are generally self motivated to achieve career advancement and this helps them
stick to a course of action despite obstacles. They see things through to the
end. They are often seen taking initiative and demonstrating a positive can do
attitude even in tough situations. Personally, they need to live life in accordance
with their inner values. Excited by new ideas, but bored with details. Open
minded and flexible, with a broad range of interests and abilities.","Consistently achieves results and meets goals
and targets; is motivated to achieve career
advancement; sticks to a course of action
despite obstacles and sees things through to
the end; takes initiative and demonstrates a
positive can do attitude.",RESULT ORIENTED. DEMONSTRATES A POSITIVE CAN DO ATTITUDE.
The Flexible Character,"Self aware. Adapts behaviour to the interpersonal style and needs of others.Among
these brand archetypes, the 'flexible character' are quiet, serious and
kind. Adapts behaviour to the interpersonal style and needs of others; is open to
feedback and aware of strengths and weaknesses. Though not evident, they are
sensitive and do not like conflict, and not likely to do things which may generate
conflict. Loyal and faithful. Extremely well developed senses, and aesthetic
appreciation for beauty. Not interested in leading or controlling others. Flexible
and open minded. Likely to be original and creative. Enjoy the present moment","Adapts
behavior to the interpersonal
style and needs of others; is open to
feedback and aware of strengths and
weaknesses.",SELF AWARE. ADAPTS BEHAVIOUR TO THE INTERPERSONAL STYLE & NEEDS OF OTHERS.
Calming Presence,"Elegant. Patient, humble and calm under pressure
Among
these brand archetypes, the people with 'calming presence' have
uncanny abilities to handle pressure. They are composed in chaotic situations
and do not get agitated easily. They have developed their own methodologies of
handling stress and practice often in tense situations. The address the situations
quickly and have an ability to distance themselves from the situation to get a
better perspective. There values and goals are usually associated with life at
large and thus professional situations as distinguished different from real life
threats. They recognize the contribution of others and acts humbly about
strengths and achievements. They are patient with others and knows when to
slow down to let them catch up; are able to well balance work and personal
priorities.","Remains calm under pressure; recognizes
the contribution of others and acts humbly
about strengths and achievements; is
patient with others and knows when to slow
down to let them catch up; balances work
and personal priorities.
communicate in a non confrontational and polite
manner; reaches win win outcomes even when
there are conflicting interests and limited resources;
knows how to manage the politics of relationships.","ELEGANT. PATIENT, HUMBLE & CALM UNDER PRESSURE"
Smooth Operator,"Self aware. Adapts behaviour to the interpersonal style and needs of
others.
Among
these brand archetypes, the 'smooth operator' is friendly, adaptable and
action oriented. “Doers” who are focused on immediate results. Living in the
here and now, they’re risk takers who live fast paced lifestyles. Impatient with
long explanations. Extremely loyal to their peers, but not usually respectful of
laws and rules if they get in the way of getting things done. Blessed with great
people skills, they interact with others confidently and tactfully. They can
communicate in a non confrontational and polite manner. Known to reach win
win outcomes even when there are conflicting interests and limited resources.
The 'smooth operator' knows how to manage the politics of relationships.","Interacts with others confidently; is tactful and can
communicate in a non confrontational and polite
manner; reaches win win outcomes even when
there are conflicting interests and limited resources;
knows how to manage the politics of relationships.","CONFIDENT, TACTFUL & KNOWS THE POLITICS OF RELATIONSHIPS."
The Inspirational Cheerleader,"Inspirational and the opposite virtues of being ordinary.
Among
these brand archetypes, the 'inspirational cheerleader' are people
oriented and fun loving. They make things more fun for others by their
enjoyment. Living for the moment, they love new experiences. They Inspire
others to accept and trust a vision of the future; knowing what motivates
different types of people and get the best out of them. They are keen in
developing others and provide opportunities for them to practice new skills or
improve existing ones. They can pull people together as a team for a common
purpose. They dislike theory and impersonal analysis. Interested in serving
others. Likely to be the centre of attention in social situations. Well developed
common sense and practical ability.","Inspires others to accept and trust a vision
of the future; knows what motivates
different types of people and get the best
out of them; develops others and provides
an opportunity for them to practice new
skills or improve existing ones; can pull
people together as a team for a common
purpose.","CONFIDENT, TACTFUL & KNOWS THE POLITICS OF RELATIONSHIPS."
Sound Decision Maker,"Experienced, exercises good judgment when making decisions.
Among
these brand archetypes, the 'sound decision maker' are creative,
resourceful, and intellectually quick. Good at a broad range of things. Enjoy
debating issues, and may be into “one up manship ”. They make decisions
quickly, even in the absence of complete data. They exercise good judgment
when making decisions and takes into account both facts and personal
experiences. They are great at prioritizing, differentiating between critical and
less important priorities. Have an ability to accurately identify strengths,
weaknesses and potential in people with relatively short exposure to them. They
get very excited about new ideas and projects, but may neglect the more
routine aspects of life. Generally outspoken and assertive. They enjoy people
and are stimulating company. Excellent ability to understand concepts and
apply logic to find solutions.","Makes decisions quickly, even in the absence of
complete data; exercises good judgment when
making decisions and takes into account both
facts and personal experience; differentiates
between critical and less important priorities;
accurately identifies strengths, weaknesses and
potential in people with relatively short
exposure to them.","EXPERIENCED, EXERCISES GOOD JUDGMENT WHEN MAKING DECISIONS."
The Methodical Organizer,"Goals, plans and attention to detail.
Among
these brand archetypes, the 'methodical organizer' is independent,
original, analytical, and determined. Are well organized and methodical, paying
attention to detail and thus have a high level of productivity. They use time well
to get work done, sets definite milestones and act to achieve goals.
They
have an exceptional ability to turn theories into solid plans of action.
Highly value knowledge, competence, and structure. Driven to derive meaning
from their visions. Long range thinkers. Have very high standards for their
performance, and the performance of others. Natural leaders, but will follow if
they trust existing leaders.","Well organized and methodical, and pays
attention to detail; has a high level of
productivity and uses time well to get
work done; sets definite milestones and
actions for achieving goals.","GOALS, PLANS & ATTENTION TO DETAIL."
The Constant Learner,"Good general knowledge with life skills in their arsenal.
Among these brand archetypes, the 'constant learner' are the 'on the toes'
professionals. Always ready and prepared. They continuously develop new skills
and enhances existing capabilities pertaining to their environment. They have a
good general knowledge and makes an effort to stay up to date with current
affairs. They are often anticipating the future and can be expected to have the
functional and technical knowledge and skills to get the job done. Have a steep
learning curve and they often define success in means of experiences rather
than material terms. They are involved in extra curricular activities and are born
curious. Even though it depends on individual character if they would take the
initiative to start but they are definite to join in on any cause at any point in
time.","Continuously develops new skills and
enhances existing capabilities; has a good
general knowledge and makes an effort to
stay up to date with current affairs; has the
functional and technical knowledge and
skills to get the job done.",GOOD GENERAL KNOWLEDGE WITH LIFE SKILLS IN THEIR ARSENAL.
The Responsible Citizen,"Trustworthy with a high moral and ethics.
Among
these brand archetypes, the 'responsible citizen' are the serious and
quiet ones, interested in security and peaceful living. Are not pleased to be
breaking rules and respect law. Take time to understand the rules but never with
an intention of finding logical loopholes in the process. Extremely thorough,
responsible and dependable. They are friendly and easy to approach. They are
good listeners and demonstrates a genuine concern for and interest in others. In
a conversation, they listen with an interest in understanding the thoughts and
feelings of the other. Usually gifted with well developed powers of
concentration. They act ethically; treat people fairly regardless of race, gender,
cultural differences","Acts ethically; treats people fairly
regardless of race, gender, cultural
differences; accepts accountability for
personal actions; is considered
trustworthy by others.",TRUSTWORTHY WITH A HIGH MORAL & ETHICS.
The Social Networker,"Open personality, social and easy to mingle with.
Among
the brand Archetypes, the 'social networker' cooperate well with others;
deliver great service to customers, with a focus on their needs. They actively
builds and manage social networks, share an appropriate amount of personal
information so that others can get to know them. They work effectively with
people in authority. They are popular and sensitive, with outstanding people
skills. Externally focused, with real concern for how others think and feel. Usually
dislike being alone. They see everything from the human angle, and dislike
impersonal analysis. Very effective at managing people issues, and leading
group discussions. Interested in serving others, and probably place the needs of
others over their own needs.","Cooperates well with others; delivers great
service to customers, with a focus on their
needs; actively builds and manages social
networks; shares an appropriate amount of
personal information so that others can
get to know them; works effectively with
people in authority.","OPEN PERSONALITY, SOCIAL & EASY TO MINGLE WITH."
